Sector,ID,Gender,Age,Salary,Elderness,Fired?
1,2334361,Homme,27,14000,14,0
1,2344208,Homme,43,39000,22,1
1,2323352,Femme,37,10000,20,0
1,2386544,Homme,50,39000,114,1
1,2397262,Homme,31,34000,84,1
1,2371306,Femme,24,38000,5,1
1,2353028,Femme,20,22000,74,1
1,2324200,Homme,45,14000,26,0
1,2378941,Homme,34,38000,42,1
1,2397390,Homme,22,35000,1,1
1,2393805,Femme,20,10000,59,0
1,2310674,Femme,29,23000,19,1
1,2326131,Homme,48,17000,97,0
1,2343849,Femme,26,23000,119,1
1,2395567,Homme,36,15000,68,0
1,2318312,Femme,27,13000,107,0
1,2384471,Homme,45,31000,94,1
1,2366598,Femme,22,38000,103,1
1,2387054,Femme,31,18000,13,1
1,2349384,Homme,35,12000,29,0
1,2379286,Femme,23,29000,33,1
1,2346574,Femme,30,37000,41,1
1,2327533,Femme,42,38000,110,1
1,2314065,Homme,29,36000,47,1
1,2325622,Homme,31,17000,101,0
1,2367804,Femme,22,28000,34,1
1,2356455,Femme,32,16000,34,0
1,2310190,Femme,32,14000,98,0
1,2316164,Femme,24,13000,56,0
1,2328347,Femme,47,35000,9,1
1,2395863,Homme,31,15000,46,0
1,2335381,Femme,38,30000,92,1
1,2378808,Homme,50,15000,67,0
1,2365462,Femme,31,22000,106,1
1,2377151,Femme,26,12000,8,0
1,2313897,Homme,49,13000,112,0
1,2355716,Homme,49,16000,69,0
1,2320219,Homme,39,34000,106,1
1,2310430,Femme,42,20000,50,1
1,2383109,Homme,40,16000,41,0
1,2366374,Femme,42,20000,54,1
1,2367123,Femme,44,15000,21,0
1,2369507,Homme,34,24000,110,1
1,2370006,Femme,33,37000,8,1
1,2330361,Femme,34,16000,54,0
1,2397305,Homme,35,10000,51,0
1,2317948,Homme,27,25000,30,1
1,2333184,Femme,23,14000,24,0
1,2399909,Homme,29,34000,53,1
1,2360031,Femme,40,19000,103,1
1,2355317,Homme,20,23000,41,1
1,2364785,Homme,39,26000,73,1
1,2325834,Homme,28,38000,111,1
1,2339832,Femme,19,17000,67,0
1,2329285,Homme,24,17000,25,0
1,2341485,Femme,28,18000,82,1
1,2333685,Femme,32,12000,91,0
1,2343646,Femme,46,37000,22,1
1,2342736,Femme,20,38000,44,1
1,2388396,Homme,27,26000,68,1
1,2339923,Femme,40,26000,99,1
1,2339119,Homme,37,23000,83,1
1,2312800,Homme,45,13000,38,0
1,2381670,Femme,39,24000,55,1
1,2376576,Femme,29,22000,90,1
1,2384500,Femme,48,28000,39,1
1,2313704,Homme,38,34000,71,1
1,2398738,Femme,31,30000,64,1
1,2343938,Homme,37,24000,116,1
1,2330676,Femme,27,35000,47,1
1,2347506,Femme,22,25000,44,1
1,2315255,Femme,34,28000,70,1
1,2393626,Homme,45,20000,102,1
1,2397730,Femme,30,25000,105,1
1,2317156,Homme,43,23000,84,1
1,2324542,Femme,47,11000,38,0
1,2325112,Femme,23,39000,30,1
1,2377328,Homme,26,20000,88,1
1,2352110,Femme,48,32000,44,1
1,2399675,Homme,28,19000,62,1
1,2310810,Femme,38,17000,38,0
1,2364007,Homme,27,11000,5,0
1,2397291,Homme,47,26000,31,1
1,2358781,Femme,34,12000,75,0
1,2323468,Homme,32,37000,47,1
1,2316059,Femme,39,24000,52,1
1,2365735,Femme,44,37000,6,1
1,2330740,Homme,18,22000,17,1
1,2365198,Homme,33,29000,38,1
1,2371095,Homme,21,24000,80,1
1,2348117,Femme,42,16000,96,0
1,2381420,Femme,46,15000,72,1
1,2316573,Femme,36,34000,102,1
1,2313285,Homme,49,29000,57,1
1,2320626,Homme,42,40000,71,1
1,2342914,Homme,28,11000,113,0
1,2326520,Homme,21,20000,103,1
1,2353118,Homme,23,33000,21,1
1,2319011,Femme,47,34000,67,1
1,2356102,Homme,41,32000,48,1
1,2390888,Femme,41,20000,21,1
1,2374935,Femme,48,26000,82,1
1,2389703,Homme,38,39000,83,1
1,2340177,Femme,28,23000,106,1
1,2399457,Femme,43,32000,78,1
1,2310680,Femme,40,40000,86,1
1,2311464,Homme,30,21000,2,1
1,2391946,Femme,44,34000,24,1
1,2347413,Femme,32,29000,15,1
1,2349310,Femme,47,29000,94,1
1,2343982,Homme,20,28000,1,1
1,2394638,Homme,21,27000,105,1
1,2331036,Femme,25,21000,73,1
1,2368166,Homme,25,18000,64,1
1,2340239,Homme,42,13000,118,0
1,2322505,Femme,26,18000,57,1
1,2342301,Femme,38,18000,91,1
1,2343526,Femme,38,17000,105,0
1,2368051,Femme,19,11000,42,0
1,2389584,Homme,30,23000,37,1
1,2351267,Homme,37,25000,23,1
1,2392998,Femme,41,26000,101,1
1,2317932,Homme,40,22000,15,1
1,2354538,Homme,31,40000,89,1
1,2338258,Femme,41,33000,61,1
1,2380992,Femme,31,29000,101,1
1,2357754,Femme,37,19000,107,1
1,2365826,Homme,42,18000,27,1
1,2373918,Homme,45,32000,50,1
1,2346374,Homme,50,39000,14,1
1,2398906,Femme,19,21000,31,1
1,2358000,Femme,36,13000,46,0
1,2335845,Homme,48,25000,26,1
1,2378772,Homme,31,17000,52,0
1,2374858,Femme,50,22000,12,1
1,2333273,Femme,47,35000,96,1
1,2375817,Femme,46,11000,19,1
1,2385767,Femme,18,21000,57,1
1,2376744,Homme,29,32000,66,1
1,2315644,Homme,22,22000,41,1
1,2319095,Femme,30,36000,116,1
1,2311779,Femme,26,39000,59,1
1,2365428,Homme,24,19000,97,1
1,2380949,Homme,33,15000,17,0
1,2311251,Homme,37,38000,67,1
1,2391489,Homme,47,22000,102,1
1,2376047,Femme,24,20000,120,1
1,2317205,Homme,47,30000,117,1
1,2336844,Homme,32,27000,70,1
1,2338502,Femme,31,35000,56,1
1,2379392,Femme,44,37000,52,1
1,2326655,Homme,45,34000,4,1
1,2314113,Femme,40,27000,55,1
1,2393837,Homme,38,17000,68,0
1,2394232,Homme,47,18000,23,1
1,2344607,Homme,38,31000,90,1
1,2351054,Homme,30,37000,64,1
1,2388443,Homme,19,25000,17,1
1,2337582,Femme,30,34000,36,1
1,2324227,Femme,25,20000,100,1
1,2397729,Femme,45,15000,94,1
1,2356087,Femme,22,40000,110,1
1,2387485,Homme,41,27000,113,1
1,2334266,Homme,34,37000,9,1
1,2313723,Femme,32,31000,93,1
1,2367781,Homme,49,27000,79,1
