Sector,ID,Gender,Age,Salary,Elderness,Fired?
1,230000,Femme,27,28000,79,1
1,230001,Homme,44,30000,15,1
1,230002,Femme,29,34000,6,1
1,230003,Femme,46,30000,29,1
1,230004,Homme,45,14000,3,1
1,230005,Femme,41,31000,24,1
1,230006,Femme,49,30000,27,1
1,230007,Homme,28,39000,107,1
1,230008,Femme,36,35000,7,1
1,230009,Homme,21,11000,118,1
1,230010,Femme,18,26000,117,1
1,230011,Femme,36,16000,79,1
1,230012,Femme,21,15000,28,1
1,230013,Homme,31,31000,36,1
1,230014,Homme,29,31000,54,1
1,230015,Homme,29,15000,13,1
1,230016,Femme,31,33000,34,1
1,230017,Homme,37,33000,4,1
1,230018,Homme,45,16000,101,1
1,230019,Homme,32,31000,1,1
1,230020,Homme,26,23000,73,1
1,230021,Homme,28,31000,37,1
1,230022,Femme,43,30000,89,1
1,230023,Femme,28,18000,42,1
1,230024,Homme,30,37000,73,1
1,230025,Femme,46,24000,49,1
1,230026,Femme,24,32000,29,1
1,230027,Homme,44,36000,107,1
1,230028,Femme,25,20000,79,1
1,230029,Femme,48,13000,74,1
1,230030,Homme,28,11000,28,1
1,230031,Homme,29,39000,26,1
1,230032,Homme,23,39000,42,1
1,230033,Femme,19,16000,8,1
1,230034,Femme,43,18000,18,1
1,230035,Homme,36,14000,17,1
1,230036,Homme,27,36000,32,1
1,230037,Homme,43,35000,109,1
1,230038,Femme,32,30000,27,1
1,230039,Homme,18,36000,35,1
1,230040,Femme,48,19000,81,1
1,230041,Femme,31,15000,13,1
1,230042,Homme,20,33000,18,1
1,230043,Femme,46,10000,67,1
1,230044,Femme,49,34000,54,1
1,230045,Homme,34,28000,27,1
1,230046,Femme,27,30000,76,1
1,230047,Homme,41,39000,14,1
1,230048,Homme,32,39000,112,1
1,230049,Femme,37,12000,117,1
1,230050,Femme,42,34000,81,1
1,230051,Homme,26,15000,95,1
1,230052,Homme,25,12000,120,1
1,230053,Homme,46,27000,88,1
1,230054,Femme,28,23000,50,1
1,230055,Homme,34,16000,96,1
1,230056,Homme,33,11000,0,1
1,230057,Homme,39,23000,7,1
1,230058,Homme,22,28000,78,1
1,230059,Homme,38,13000,74,1
1,230060,Femme,50,11000,112,1
1,230061,Femme,33,13000,19,1
1,230062,Femme,37,39000,112,1
1,230063,Homme,35,16000,26,1
1,230064,Homme,23,35000,67,1
1,230065,Femme,27,32000,16,1
1,230066,Homme,50,18000,0,1
1,230067,Femme,33,39000,30,1
1,230068,Homme,21,38000,3,1
1,230069,Homme,46,26000,92,1
1,230070,Homme,38,10000,43,1
1,230071,Homme,30,38000,58,1
1,230072,Femme,46,40000,65,1
1,230073,Femme,40,24000,9,1
1,230074,Homme,44,25000,59,1
1,230075,Femme,25,22000,42,1
1,230076,Homme,49,23000,46,1
1,230077,Homme,23,22000,42,1
1,230078,Homme,33,12000,33,1
1,230079,Femme,20,32000,91,1
1,230080,Homme,23,38000,104,1
1,230081,Homme,47,18000,85,1
1,230082,Homme,47,26000,36,1
1,230083,Homme,31,22000,63,1
1,230084,Homme,32,40000,119,1
1,230085,Femme,19,19000,83,1
1,230086,Homme,38,33000,27,1
1,230087,Homme,36,27000,63,1
1,230088,Homme,26,24000,3,1
1,230089,Homme,31,11000,23,1
1,230090,Femme,23,28000,64,1
1,230091,Femme,41,24000,95,1
1,230092,Homme,48,33000,106,1
1,230093,Femme,35,18000,45,1
1,230094,Homme,27,37000,103,1
1,230095,Homme,42,12000,57,1
1,230096,Femme,30,17000,71,1
1,230097,Femme,40,18000,67,1
1,230098,Femme,39,25000,43,1
1,230099,Femme,33,16000,47,1
1,230100,Homme,40,11000,117,1
1,230101,Femme,20,37000,41,1
1,230102,Femme,41,27000,92,1
1,230103,Femme,22,27000,52,1
1,230104,Homme,39,38000,41,1
1,230105,Femme,32,23000,120,1
1,230106,Homme,21,22000,78,1
1,230107,Homme,38,36000,64,1
1,230108,Homme,26,18000,55,1
1,230109,Homme,23,28000,32,1
1,230110,Homme,46,30000,88,1
1,230111,Femme,37,13000,28,1
1,230112,Femme,44,21000,104,1
1,230113,Homme,35,16000,103,1
