Sector,ID,Gender,Age,Salary,Elderness,Fired?
1,230000,Homme,47,12000,49,0
1,230001,Femme,43,13000,13,0
1,230002,Homme,40,39000,39,0
1,230003,Homme,18,24000,37,0
1,230004,Homme,32,19000,11,0
1,230005,Homme,34,11000,70,0
1,230006,Femme,21,30000,34,0
1,230007,Homme,18,14000,101,0
1,230008,Homme,43,20000,75,0
1,230009,Homme,31,15000,92,0
1,230010,Femme,25,37000,24,0
1,230011,Femme,21,14000,14,0
1,230012,Femme,26,32000,93,0
1,230013,Homme,18,23000,102,0
1,230014,Homme,18,38000,5,0
1,230015,Homme,36,22000,44,0
1,230016,Femme,47,26000,24,0
1,230017,Homme,43,24000,33,0
1,230018,Femme,29,40000,93,0
1,230019,Homme,27,22000,43,0
1,230020,Homme,35,29000,104,0
1,230021,Femme,24,15000,18,0
1,230022,Femme,43,10000,53,0
1,230023,Femme,18,36000,31,0
1,230024,Femme,21,32000,89,0
1,230025,Homme,47,31000,98,0
1,230026,Femme,23,36000,66,0
1,230027,Homme,47,12000,44,0
1,230028,Femme,42,20000,97,0
1,230029,Homme,23,40000,107,0
1,230030,Homme,31,14000,106,0
1,230031,Homme,24,39000,119,0
1,230032,Femme,41,17000,76,0
1,230033,Femme,36,18000,52,0
1,230034,Femme,31,17000,36,0
1,230035,Homme,27,18000,43,0
1,230036,Homme,26,28000,34,0
1,230037,Femme,32,37000,24,0
1,230038,Homme,39,22000,85,0
1,230039,Homme,20,40000,3,0
1,230040,Femme,25,30000,61,0
1,230041,Homme,35,28000,44,0
1,230042,Homme,38,20000,86,0
1,230043,Femme,23,30000,23,0
1,230044,Homme,32,33000,68,0
1,230045,Femme,47,20000,46,0
1,230046,Homme,44,17000,85,0
1,230047,Homme,48,40000,10,0
1,230048,Homme,24,32000,86,0
1,230049,Homme,30,31000,94,0
1,230050,Femme,31,18000,85,0
1,230051,Homme,31,28000,70,0
1,230052,Homme,43,33000,33,0
1,230053,Homme,24,26000,96,0
1,230054,Femme,21,17000,108,0
1,230055,Femme,36,36000,51,0
1,230056,Homme,18,24000,71,0
1,230057,Femme,45,25000,83,0
1,230058,Homme,36,32000,21,0
1,230059,Femme,43,35000,62,0
1,230060,Homme,24,11000,4,0
1,230061,Homme,45,24000,85,0
1,230062,Homme,28,12000,4,0
1,230063,Femme,49,23000,49,0
1,230064,Femme,24,17000,88,0
1,230065,Femme,46,30000,66,0
1,230066,Homme,37,25000,5,0
1,230067,Femme,50,39000,87,0
1,230068,Femme,48,31000,91,0
1,230069,Femme,28,21000,67,0
1,230070,Femme,26,23000,74,0
1,230071,Homme,27,18000,59,0
1,230072,Femme,49,30000,21,0
1,230073,Homme,21,29000,56,0
1,230074,Homme,38,20000,4,0
1,230075,Homme,47,28000,23,0
1,230076,Homme,45,27000,21,0
1,230077,Femme,23,19000,76,0
1,230078,Femme,41,21000,79,0
1,230079,Femme,44,26000,92,0
1,230080,Homme,29,23000,50,0
1,230081,Femme,22,15000,57,0
1,230082,Femme,37,17000,43,0
1,230083,Homme,40,16000,117,0
1,230084,Femme,36,10000,98,0
1,230085,Femme,34,19000,58,0
1,230086,Homme,33,23000,39,0
1,230087,Femme,29,36000,85,0
1,230088,Femme,27,21000,82,0
1,230089,Femme,35,23000,95,0
1,230090,Homme,18,20000,1,0
1,230091,Homme,19,18000,26,0
1,230092,Homme,46,26000,25,0
1,230093,Homme,28,40000,8,0
1,230094,Femme,31,18000,108,0
1,230095,Femme,45,13000,34,0
1,230096,Homme,41,37000,74,0
1,230097,Homme,30,26000,5,0
1,230098,Femme,36,24000,52,0
1,230099,Femme,35,21000,46,0
1,230100,Femme,47,30000,40,0
1,230101,Femme,40,30000,33,0
1,230102,Homme,39,36000,71,0
1,230103,Femme,31,13000,58,0
1,230104,Femme,19,31000,91,0
1,230105,Femme,32,28000,93,0
1,230106,Femme,31,25000,19,0
1,230107,Homme,23,21000,42,0
1,230108,Homme,28,37000,23,0
1,230109,Homme,38,31000,29,0
1,230110,Femme,38,37000,7,0
1,230111,Femme,40,24000,78,0
1,230112,Homme,35,33000,64,0
1,230113,Femme,33,18000,28,0
1,230114,Femme,47,12000,76,0
1,230115,Femme,33,15000,26,0
1,230116,Homme,44,25000,92,0
1,230117,Femme,19,22000,32,0
1,230118,Femme,45,37000,93,0
1,230119,Femme,49,21000,114,0
1,230120,Homme,32,19000,113,0
1,230121,Femme,21,18000,1,0
1,230122,Homme,37,16000,7,0
1,230123,Femme,42,20000,68,0
1,230124,Homme,44,28000,46,0
1,230125,Femme,19,39000,120,0
1,230126,Femme,41,38000,91,0
1,230127,Homme,44,32000,68,0
1,230128,Homme,46,35000,27,0
1,230129,Femme,50,21000,52,0
1,230130,Femme,25,13000,78,0
1,230131,Homme,22,16000,93,0
1,230132,Homme,18,16000,60,0
1,230133,Homme,40,31000,109,0
1,230134,Homme,46,15000,36,0
1,230135,Femme,23,40000,33,0
1,230136,Homme,26,18000,44,0
1,230137,Femme,31,23000,115,0
1,230138,Femme,30,16000,51,0
1,230139,Homme,18,39000,39,0
1,230140,Femme,40,25000,57,0
1,230141,Homme,33,18000,50,0
1,230142,Femme,41,27000,67,0
1,230143,Homme,24,19000,25,0
1,230144,Femme,29,36000,25,0
1,230145,Homme,28,23000,0,0
1,230146,Femme,35,17000,12,0
1,230147,Femme,18,24000,92,0
1,230148,Femme,32,18000,47,0
1,230149,Femme,24,17000,85,0
1,230150,Femme,34,33000,98,0
1,230151,Femme,32,25000,58,0
1,230152,Femme,36,17000,21,0
1,230153,Homme,31,37000,50,0
1,230154,Femme,43,31000,88,0
1,230155,Femme,46,39000,29,0
1,230156,Femme,44,16000,108,0
1,230157,Homme,18,40000,96,0
1,230158,Homme,48,34000,89,0
1,230159,Homme,20,22000,68,0
